(143474, 250347)
(118909, 123213)
(108251, 229306)
(58817, 65226)
(223333, 37813)
(255508, 2735)
(104950, 61897)
(220701, 132530)
(29968, 217984)
(151319, 61804)
(153431, 168928)
(68610, 46905)
(246603, 99965)
(211311, 121718)
(144440, 24008)
(84933, 194689)
(111971, 141611)
(50963, 184896)
(185954, 177091)
(85159, 165852)
(105968, 60134)
(180958, 11597)
(200338, 153494)
(186429, 261808)
(144578, 195606)
(101700, 167943)
(89050, 224551)
(31825, 140373)
(224904, 115235)
(38817, 177948)
(252553, 113380)
(188784, 159088)
(133315, 119071)
(146846, 154059)
(204638, 254313)
(109993, 103549)
(140315, 3821)
(146878, 121398)
(223074, 249425)
(18800, 24136)
(202162, 178684)
(148531, 33340)
(246129, 225867)
(15106, 46888)
(30194, 150304)
(212549, 199457)
(37080, 254128)
(162630, 158165)
(60522, 105962)
(112257, 127788)
(261929, 173767)
(23356, 153710)
(4204, 50507)
(211403, 34302)
(232670, 29849)
(82525, 242980)
(218389, 248164)
(31493, 236728)
(1952, 251355)
(101204, 257541)
(250742, 194292)
(97986, 88546)
(2703, 87235)
(189142, 187182)
(75484, 63030)
(28184, 60653)
(96111, 86266)
(34278, 73050)
(235531, 61850)
(27128, 105028)
(99590, 31513)
(198528, 153212)
(27984, 208872)
(183146, 254654)
(187909, 151810)
(52593, 255061)
(49320, 51829)
(91868, 32967)
(145024, 5206)
(150767, 261219)
(159714, 160374)
(214501, 30738)
(126159, 40214)
(61636, 73149)
(154211, 11041)
(188535, 51334)
(61070, 141681)
(169106, 156784)
(106631, 55301)
(256282, 75772)
(119959, 23087)
(251348, 79839)
(178102, 263131)
(103767, 165879)
(50555, 33753)
(33861, 183390)
(167613, 172768)
(77548, 146683)
(93972, 105725)
(146305, 113654)
(237789, 184589)
(200004, 97857)
(211937, 57277)
(241861, 9056)
(208113, 28597)
(84892, 186648)
(172905, 195269)
(160826, 122505)
(200035, 242848)
(100306, 67604)
(21302, 253469)
(121287, 32126)
(131075, 128853)
(229547, 14881)
(104306, 133117)
(114395, 145048)
(160476, 160649)
(215123, 21136)
(232363, 159608)
(131079, 20155)
(87948, 180397)
(40684, 180268)
(146781, 6484)
(2978, 87131)
(2521, 34326)
(147913, 15490)
(179312, 89992)
(37797, 196512)
(171617, 186897)
(7928, 31488)
(261799, 166850)
(165486, 181617)
(68439, 67600)
(149636, 245135)
(241832, 21969)
(166123, 114609)
(169652, 122485)
(42090, 154505)
(234174, 83001)
(125863, 110731)
(264948, 53538)
(136408, 231852)
(129362, 2188)
(260749, 125321)
(195161, 189235)
(24594, 250132)
(2850, 195347)
(209017, 157939)
(139101, 235399)
(145805, 153625)
(236372, 105078)
(20335, 202272)
(214415, 228847)
(202429, 132539)
(141042, 136189)
(255198, 38737)
(252851, 70988)
(211858, 143350)
(175768, 53035)
(212844, 29232)
(50702, 221414)
(243672, 4866)
(203272, 250385)
(30847, 226397)
(248720, 33267)
(159481, 113667)
(47318, 225216)
(173957, 138860)
(22851, 113706)
(4773, 75139)
(24029, 37110)
(38597, 76168)
(200326, 162951)
(50315, 246584)
(110131, 143533)
(127898, 113789)
(117439, 198902)
(170024, 250716)
(60782, 241347)
(41980, 107640)
(181846, 105913)
(56316, 6298)
(138648, 26296)
(221931, 18900)
(258018, 162154)
(105381, 188590)
(39642, 195472)
(106987, 143280)
(207783, 106875)
(168686, 140159)
(164968, 252401)
(78899, 14081)
(49245, 10186)
(54955, 74608)
(162933, 225991)
(62927, 119333)
(2230, 155354)
(158260, 223190)
(252982, 5853)
(60446, 89181)
(185069, 135393)
(116774, 40701)
(14075, 31421)
(196096, 151140)
(141362, 207027)
(93283, 103051)
(141637, 90636)
(46901, 113305)
(175176, 250822)
(160451, 261322)
(125074, 166843)
(216284, 61855)
(114158, 215290)
(55539, 89762)
(23828, 206683)
